"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 19 20:04:07 IST 2021","Mon Jul 19 20:04:23 IST 2021","15572","","PaySchools Mobile","","PaySchools Mobile","should allow access with correct creds","should allow access with correct creds",""
"passed","Tue Jul 20 14:00:25 IST 2021","Tue Jul 20 14:00:41 IST 2021","16331","","PaySchools Mobile","","PaySchools Mobile","should allow access with correct creds","should allow access with correct creds",""
"passed","Mon Jul 19 19:57:47 IST 2021","Mon Jul 19 19:58:03 IST 2021","16009","","PaySchools Mobile","","PaySchools Mobile","should allow access with correct creds","should allow access with correct creds",""
"passed","Mon Jul 19 20:01:39 IST 2021","Mon Jul 19 20:01:56 IST 2021","17292","","PaySchools Mobile","","PaySchools Mobile","should allow access with correct creds","should allow access with correct creds",""
